site_ID,label,title,variant _Akkadian,type,sub_type,title_source,t-s_pages,URUK_relations,URUK_probability,place_terms,determinatives,language,lanuage_prop,proper_nouns,p-n_type,p-n_type_prop,variant_modern,notes,LOC_details,LOC-1,LOC-1_probability,LOC-2,LOC-3,LOC-4,LOC-5,ccode,CDLI,Pleiades
M1281,SAGR,Agurētti,{uru}SIG{4}.AL.ÙR.RA{meš},vocab.getty.edu/page/aat/300008347,,ZadokGeographicalNamesAccording1985,3,URUK Region,,,uru; meš,Iso639-3.sil.org/code/akk; Iso639-3.sil.org/code/arc,,***,,,,Possibly See Til-agurrēti,Basin of LOC-1,M1853,,,,,,IQ,,
M6349,SAUM,Àlu-ša-{lú}U.MEK{me},URU šá {lú}U.MEK{me}; PN šá URU šá {lú}U.MEK{me} ,vocab.getty.edu/page/aat/300008347,,ZadokGeographicalNamesAccording1985,21,Not far from URUK,Possible,Àlu,lú,Iso639-3.sil.org/code/akk; Iso639-3.sil.org/code/arc,,"U.MEK{me}""",Professional,,,See M7899,,,,,,,,IQ,,
M3205,TAGR,Til-Agurrēti,{uru}DU{6}-a-gur(?)-re-e-tu{4}; {uru}til-la-a-gur-ri{meš}; {uru}til-li-a-gur-ru{meš} ši-i-ḫu šá {d}GAŠAN šá UNU{ki}; {uru}DU{6}-a-gur-ri{meš}; {uru}DU{6}-a-gur-ru{meš}; {uru}t[í]l(?)-l[i(?)-[…]; {garim}DU{6}-a-gur-re-e-ti; {garim}DU{6}-a-gur-[re]-e-tú; DU{6}-a-gur-re-e-ti; DU{6}-a-gur-re-e-tú; DU{6}-a-gur-<<a>>-re-e-ti; DU{6}-a-gur-ru-e-ti; A.ŠA{meš} NÌ.GA {d}INNIN UNU{ki} šá DU{6}-a-gur-ru-tu{4}; {garim}ši-i-ḫi šá DU{6}-a-gur-ri,,,ZadokGeographicalNamesAccording1985,308,URUK Region,,Til,garim; meš; d; ki; uru,Iso639-3.sil.org/code/akk; Iso639-3.sil.org/code/arc,,Agurrēti,Appellative,,,"See CAD A-1, 160+",Not far from LOC-1; Text Connection to LOC-2,M8073,,M7880,,,,IQ,,
M8064,WNAB,Nāru-ša-Anu-Bēlšunu,I{7} šá {md}DIŠ-EN-šú-nu,vocab.getty.edu/page/aat/300006073,,ZadokGeographicalNamesAccording1985,390,In URUK,,Nar(u),m; d,Iso639-3.sil.org/code/akk,,Anu Bēlšunu,Personal,,,,,,,,,,,IQ,,
M5679,SKEN,Kār-Eanna,{uru}KAR-é-an-na; A.ŠÀ qè-rab KAR-é-an-na ,vocab.getty.edu/page/aat/300008347,,ZadokGeographicalNamesAccording1985,195,Near URUK,,Kar,uru,Iso639-3.sil.org/code/sux; Iso639-3.sil.org/code/akk,,Eanna,Place,,,,,,,,,,,IQ,,
M5477,WHAB,Ḫarru-ša-Abdâ,ÍD ḫar-ri šá {m}Ab-da-a,vocab.getty.edu/page/aat/300006073,,ErmidoroNewDataBabylonian2016,142,URUK Region,Possible,Ḫarru,m,Iso639-3.sil.org/code/akk,Possible,Abdâ,Personal,Possible,,Abda is a Personal Name,,,,,,,,IQ,,
M4282,SABR,Bīt-Abi-rīm,{uru}É-AD-ri-im,vocab.getty.edu/page/aat/300008347,,ZadokGeographicalNamesAccording1985,79,***,,Bit,uru,Iso639-3.sil.org/code/sem,,Abi-rīm,Personal,Possible,,"LOC-1 Marked with ""?""",In LOC-1; mentioned with LOC-2,M4029,Possible,M1398,,,,IQ,,
M5452,WNBA,Nār-bāb-Adad,ÍD ina KÁ.GAL {d}IM,vocab.getty.edu/page/aat/300006073,,ErmidoroNewDataBabylonian2016,150,In URUK,,Nar(u),d,Iso639-3.sil.org/code/akk,Possible,Adad,Divine,,,Specifically attested INSIDE City Walls,Flowed into LOC-1,M1853,,,,,,IQ,,
M4423,WHSA,Ḫarru-ša-abul-{d}Adad,ÍD ḫa-ri šá abul {d}IM,vocab.getty.edu/page/aat/300006073,,ErmidoroNewDataBabylonian2016,142,In/Around URUK,,Ḫarru,d,Iso639-3.sil.org/code/akk,Possible,Adad,Divine,,,Additional connections possible,"Connected to LOC-1, LOC-2, & LOC-3",M6878,,M1853,M7099,,,IQ,,
M2953,SASD,Àlu-ša-Admu,URU šá-ad-mu,vocab.getty.edu/page/aat/300006073,,ZadokGeographicalNamesAccording1985,7,Not far from URUK,Possible,Àlu,***,Iso639-3.sil.org/code/akk; Iso639-3.sil.org/code/sem,,Admu,,,,AKA Šadmu,,,,,,,,IQ,,
M8134,WHAG,Ḫarri-aggānu,{i7}ḫar-ri-ag-ga-a-nu; {i7}ḫar-ri-ag-ga-nu,vocab.getty.edu/page/aat/300006073,,ZadokGeographicalNamesAccording1985,350,Near URUK,Possible,Ḫarru,I7,Iso639-3.sil.org/code/akk; Iso639-3.sil.org/code/sem,,Aggānu,Appellative,,,"See CAD A-1, 143+",,,,,,,,IQ,,
M8709,HSAH,Ḫuṣṣēti-ša-Aḫḫūti,ḫu-uṣ-ṣe-e-tú šá {m}aḫ-ḫu-ti,,,ZadokGeographicalNamesAccording1985,170,Near URUK,,Ḫuṣṣēti,m,Iso639-3.sil.org/code/akk; Iso639-3.sil.org/code/sem,,Aḫḫūti,,,,,In LOC-1,M4029,Possible,,,,,IQ,,
M1481,HRTA,Ḫarrāti-ša-aḫi,ši-i-ḫu ḫar-ra-ta šá a-áḫ (?),,,ZadokGeographicalNamesAccording1985,154,Not far from URUK,Probable,,***,Iso639-3.sil.org/code/akk,,Aḫi,Appellative,,,"See CAD A-1, 188",,,,,,,,IQ,,
M2285,SBAP,Bīt-Alpē,{uru}É-GU{4}{meš}; ka-ra-am šá É-GU{4}{me},vocab.getty.edu/page/aat/300008347,,ZadokGeographicalNamesAccording1985,80,Near URUK,Possible,Bit,uru; meš; me,Iso639-3.sil.org/code/akk,,Alpē,Appellative,,,"See CAD A-1, 364+",,M4029,,,,,,IQ,,
M4391,SHSM,Ḫuṣṣēti-ša-Amassu,{uru}ḫu-uṣ-ṣe-e-tú šá {m}a-mat-su,vocab.getty.edu/page/aat/300008347,,ZadokGeographicalNamesAccording1985,170,URUK Region,,Ḫuṣṣēti,uru; m,Iso639-3.sil.org/code/akk; Iso639-3.sil.org/code/sem,,Amassu,Personal,,,,Near LOC-1,M6517,,,,,,IQ,,
M3546,SASA,Àlu-ša-Amassu-uṣur,URU šá {m}a-mat-su-URÙ,vocab.getty.edu/page/aat/300008347,,ZadokGeographicalNamesAccording1985,7,Not far from URUK,Possible,Àlu,m,Iso639-3.sil.org/code/akk,,Amassu-uṣur,Divine,,,,,,,,,,,IQ,,
M4029,BAMK,Bīt-Amukanu,{uru}É-{m}a-muk-a-nu; É-{m}a-muk-a-nu; NUMUN…šá É-{m}a-muk-a-nu; É-a-muk-a-nu; {kur}É-{m}a-muk-a-ni; É-{m}a-muk-a-ni; É-a-mu-ka-ni; [É-({m})]a]-mu-ka-ni; É-a-mu-ka-nu; {lú}AB.BA{meš} šá {lú}É-{m}a-muk-a-nu; É-a-muk-kan-na; PN šá É-a-muk-kan-na; {kur}É-a-mu-ka-a-ni{7}/nu; {uru}É-e-muk-a-nu; {uru}É-{m}ú-ka-a-ni; [{uru/kur(?)}]É-ú-ka-nu; É]-{m}ú-ka-nu; {lú}É-{m}a-muk-[...]; PN DUMU-{m}a-muk-a-ni; PN DUMU-a-muk-a-nu; PN A-a-muk-a-ni; DUMU-{m}a-mu-ka-ni{7}/nu; {lú}DUMU-{uru}ú-k[a-nu],vocab.getty.edu/page/aat/300261086,vocab.getty.edu/page/aat/300135982,ZadokGeographicalNamesAccording1985,80-81,***,,Bit,uru; m; kur; lú,Iso639-3.sil.org/code/sem,,Amukanu,Personal,,,"LOC-1 is specific to region, not settlement; Chaldean Terr.",In Southern LOC-1,M8809,,,,,,IQ,,
M1278,WHBA,Ḫarru-ša-Bīt-Amurru,{i7}ḫar-ri šá É-{m}KUR.GAL; ḫar-ri šá É-{d}KUR.GAL,vocab.getty.edu/page/aat/300006073,,ZadokGeographicalNamesAccording1985,354,***,,Ḫarru,I7; m; d,Iso639-3.sil.org/code/akk,,Amurru,Divine,,,,,,,,,,,IQ,,
M6955,WAMR,Nār-Amurru,I{7}-{d}KUR.GAL,vocab.getty.edu/page/aat/300006073,,ZadokGeographicalNamesAccording1985,364,URUK Region,,Nar(u),d,Iso639-3.sil.org/code/akk,Possible,Amurru,Divine,,,May equal M1278,Not far from LOC-1 ,M1853,,,,,,IQ,,
M3813,SAAN,Àlu-ša-Anu-aḫa-ereš,KAR-ē-an-na URU ša {md}DIŠ-ŠEŠ-KAM; KAR-ē-an-na URU ša {md}DIŠ-ŠEŠ-KAM UNU{ki},vocab.getty.edu/page/aat/300006073,,ZadokGeographicalNamesAccording1985,8,Suburb of URUK,Probable,Àlu,m; d; ki,Iso639-3.sil.org/code/akk,,Anu-Aḫa-Ereš,Personal,,,,,,,,,,,IQ,,
M5279,SAXX,Àlu-ša-[ ],"URU šá [U+1212C, U+12041, U+12038]",vocab.getty.edu/page/aat/300008347,,ZadokGeographicalNamesAccording1985,21,Not far from URUK,Possible,Àlu,***,Iso639-3.sil.org/code/akk,,***,,,,Multiple Iterations,,,,,,,,IQ,,
M7215,SAMN,Amanu,É.GAL šá AŠ {uru}a-ma-nu; É.GAL šá {uru}a-ma-nu; É.GAL {uru}a-ma-nu; {uru}a-ma-nu,vocab.getty.edu/page/aat/300008347,,ZadokGeographicalNamesAccording1985,22,Not far from URUK,Possible,,uru,Iso639-3.sil.org/code/ira,,***,,,,,Not far from LOC-1; In LOC-2,M7129,Possible,M4029,,,,IQ,,
M8697,PRMT,Apramātu,ap-[ra]-ma-a-tú,,,ZadokGeographicalNamesAccording1985,25,Near URUK,Possible,,***,Iso639-3.sil.org/code/ira,,***,,,,,,,,,,,,IQ,,
M6099,AMTU,Amatu,"a-ma-tu{4}; {lú}a-ma-tú (RGTC-8); {uru}a-ma-at-tu, {uru}a-ma-tu (RGTC-7)",vocab.getty.edu/page/aat/300008347,,ZadokGeographicalNamesAccording1985; BaggOrtsUndGewassernames2020,22; 35-36,Near URUK,,,uru,Iso639-3.sil.org/code/sem,,***,,,,"In ZadokGeographicalNamesAccording1985, ""Of"" LOC-1; LOC-2 is ""Possibly""","In LOC-1, Near LOC-2",M5454,Possible,M6724,,,,IQ,,
M9236,ATXX,Ašat […],a-šá-at-[…],,,ZadokGeographicalNamesAccording1985,32,Near URUK,Possible,,***,***,,***,,,,,,,,,,,,IQ,,
M1167,SATR,Atera [ ],{uru}a-[te] (??)-ra-[x] (?),vocab.getty.edu/page/aat/300008347,,ZadokGeographicalNamesAccording1985,36,Mentioned in URUK Text,,,uru,***,,***,,,,"Location Unknown, mentioned in GCCI 1, 108",,,,,,,,IQ,,
M9677,SATK,Attiki'a,{uru} {m}at-ti-'-ki-!-a šá AŠ UGU{ḫi} I{7}-{d}INNIN,vocab.getty.edu/page/aat/300008347,,ZadokGeographicalNamesAccording1985,36,In Vicinity of URUK,Probable,,uru; m; ḫi; d ,Iso639-3.sil.org/code/grk,,***,,,,Possibly See Uruk,,,,,,,,IQ,,
M1555,AXNI,A[ ]ani,a-[(x)]-a-ni,,,ZadokGeographicalNamesAccording1985,37,Near URUK,Possible,,***,***,,***,,,,,,,,,,,,IQ,,
M1510,AXTU,A[ ]tu,a-x] - [x-tú,,,ZadokGeographicalNamesAccording1985,37,Near URUK,Possible,,***,***,,***,,,,,,,,,,,,IQ,,
M3990,WHRA,Ḫarri-Arali,{i7}ḫar-ri-{m}a-ra-li-'-[(x)] (?),vocab.getty.edu/page/aat/300006073,,ZadokGeographicalNamesAccording1985,350,Near URUK,,Ḫarru,I7; m,Iso639-3.sil.org/code/akk,,Arali,Personal,,,,In LOC-1,M4029,Possible,,,,,IQ,,
M9523,WNAI,Nāru-ša-Aška-'īti,I{7} šá {d}áš-ka-i-ti,vocab.getty.edu/page/aat/300006073,,ZadokGeographicalNamesAccording1985,390,Not far from URUK,,Nar(u),d,Iso639-3.sil.org/code/sux; Iso639-3.sil.org/code/akk,,Aška-'ītu,Divine,,,Possibly Identical to M2237,,,,,,,,IQ,,
M2656,SBLI,Bāb-āli,{uru}KÁ-URU,vocab.getty.edu/page/aat/300008347,,ZadokGeographicalNamesAccording1985,38,Suburb of URUK,Possible,Bab,uru,Iso639-3.sil.org/code/akk; Iso639-3.sil.org/code/arc,,***,,,,"Marked with ""?""; Mentioned with Uruk",Mentioned w/ LOC-1,M9528,,,,,,IQ,,
M1591,SBHL,Bāb-ḫilti,{uru}KÁ-{i7}ḫi-il-ti; KÁ-ḫi-il-tu{4}; KÁ-{i7}ḫi-il-ti,vocab.getty.edu/page/aat/300008347,,ZadokGeographicalNamesAccording1985,39,Near URUK,Probable,Bab,uru; I7,Iso639-3.sil.org/code/akk,,***,,,,,Mentioned w/ LOC-1,M6535,,,,,,IQ,,
M2237,WHAI,Ḫarru-ša-Aška'ītu,KI{tì} {i7}ḫar-ri šá {d}aš-ka-'-i-tú ša qé-reb UNU{ki}; {i7}ḫar-ri šá {d}áš-ka-i-tú,vocab.getty.edu/page/aat/300006073,,ZadokGeographicalNamesAccording1985,353,Within URUK,,Ḫarru,tì; I7; d; ki; ,Iso639-3.sil.org/code/akk; Iso639-3.sil.org/code/sem,,Aška-'ītu,Divine,,,See ZadokGeographicalNamesAccording1985 for city locations; RIGHT Bank Tributary,Tributary of LOC-1,M1853,,,,,,IQ,,
M4144,SASK,Àlu-ša-aškāpē,URU šá {lú}AŠGAB{meš},vocab.getty.edu/page/aat/300008347,,ZadokGeographicalNamesAccording1985,9,Not far from URUK,,Àlu,lú; meš,Iso639-3.sil.org/code/akk; Iso639-3.sil.org/code/arc,,Aškāpē,Appellative,,,"See CAD A-2, 442+; Multiple Iterations; see CocquerillatPalmeraiesCulturesEanna1968, 20",In LOC-1,M4029,,,,,,IQ,,
M3824,SBAS,Bāb-Aššurītu,{uru}KÁ-a-šur-ri-tu{4},vocab.getty.edu/page/aat/300008347,,ZadokGeographicalNamesAccording1985,38,Not far from URUK,Probable,Bab,uru,Iso639-3.sil.org/code/akk; Iso639-3.sil.org/code/arc,,Aššurītu,Place,,,LOC-2 cited in ZadokNewDocumentsUruk2020,"On LOC-1, LOC-2",M3449,Probable,M1853,,,,IQ,,
M3449,WNAS,Nār-Aššurītu,I{7}a-šur-ri-tu{4}; KÁ-I{7}-a-šur-ri-tu{4}; I{7}-a-šur-ri-ti; A.ŠA šá I{7}-a-šur-ri-ti šá {m}bul-luṭ-a NÌ.GA {d}INNIN UNU{ki} u {d}na-na-a; A.ŠA KÁ-I{7}-a-šur-ri-ti,vocab.getty.edu/page/aat/300006073,,ZadokGeographicalNamesAccording1985,365,URUK Region,,Nar(u),m; d; ki,Iso639-3.sil.org/code/akk,,Aššurītu,Place,,,"See ZadokNewDocumentsUruk2020 (""Bullutu"")",Flowed in LOC-1; Tributary of LOC-2,M9313,Probable,M1853,,,,IQ,,
M3977,GBBU,Bābu,{garim}ba-a-bi,,,ZadokGeographicalNamesAccording1985,61,Near URUK,,,garim,Iso639-3.sil.org/code/akk,,***,,,,,In LOC-1,M4029,Possible,,,,,IQ,,
M2579,SBTN,Baṭnānu,É.GAL šá LUGAL šá AŠ {uru}ba-aṭ-na-a-nu,vocab.getty.edu/page/aat/300008347,,ZadokGeographicalNamesAccording1985,72,Mentioned in URUK Text,,,uru,Iso639-3.sil.org/code/sem,,***,,,,Location unknown,,M4029,,,,,,IQ,,
M1648,GBLJ,Bēlāja,{garim}EN-a-a,,,ZadokGeographicalNamesAccording1985,73,Not far from URUK,Probable,,garim,Iso639-3.sil.org/code/akk; Iso639-3.sil.org/code/sem,,***,,,,,In LOC-1,M4029,Probable,,,,,IQ,,
M4607,SAAB,Àlu-ša-Atkal-Bēl,URU šá {m}at-kal-{d}EN,vocab.getty.edu/page/aat/300008347,,ZadokGeographicalNamesAccording1985,9,Near URUK,Probable,Àlu,"m, d",Iso639-3.sil.org/code/akk,,Atkal-Bēl,Personal,,,,,,,,,,,IQ,,
M3086,SBLT,Bēltija,{uru.d}GAŠAN-ia; {uru.d}GAŠAN-iá; É.GAL šá {uru.d}GAŠAN-iá,vocab.getty.edu/page/aat/300008347,,ZadokGeographicalNamesAccording1985,74,Near URUK,Probably,,uru; d,Iso639-3.sil.org/code/akk; Iso639-3.sil.org/code/sem,Possible,***,,,,,,M4029,,,,,,IQ,,
M3189,SBRN,Bīrānāti,{uru}bi-ra-na(?)-a-tu{4} GABA KÁ.GAL {d}MES.LAM.TA.È.A NAM UNU{ki},vocab.getty.edu/page/aat/300008347,,ZadokGeographicalNamesAccording1985,75,Opposite URUK,,,uru; d; ki,Iso639-3.sil.org/code/sem,,***,,,,"Specifically, opposite ""D-MES.LAM.TA.E.A"" Gate of URUK",,M4029,,,,,,IQ,,
M3677,SBRT,Bīrāti,{uru}bi-rat; {uru}bi-ra-a-ta; {lú}áš-šá-bé šá {uru}bi-ra-a-ta; bi-[ra(?)-a(?)]-tú; {uru}bi-ra-a-ti,vocab.getty.edu/page/aat/300008347,,ZadokGeographicalNamesAccording1985,75,URUK Region,,,uru; lú,Iso639-3.sil.org/code/sem,,***,,,,Multiple Iterations,"Not far from LOC-1, LOC-2 ",M8804,Probable,M9883,,,,IQ,,
M4406,GBRH,Birḫīni,{garim}bir-ḫi-ni,,,ZadokGeographicalNamesAccording1985,76,Near URUK,,,garim,Iso639-3.sil.org/code/sem,,***,,,,,In LOC-1,M4029,Possible,,,,,IQ,,
M7880,TATN,Til-Atūnāti, --none--,,,ZadokGeographicalNamesAccording1985,500,***,,Til,***,Iso639-3.sil.org/code/akk,Possible,Atūnāti,Appellative,,,,Text Connection to LOC-1,M3205,,,,,,IQ,,
M2821,TTUN,Til-Atūnē,{uru}DU{6}-UDUN{meš} ši-i-ḫu šá {d}GAŠAN šá UNU{ki}; {uru}DU{6}-UDUN{meš}; {garim}DU{6}-UDUN{meš},,,ZadokGeographicalNamesAccording1985,309,Not far from URUK,Possible,Til,uru; meš; d; ki,Iso639-3.sil.org/code/akk; Iso639-3.sil.org/code/arc,,Atūnē,Appellative,,,,,,,,,,,IQ,,
M4432,BAWK,Bīt-Awkāni, --none--,vocab.getty.edu/page/aat/300261086,,ZadokGeographicalNamesAccording1985,505,***,,Bit,***,Iso639-3.sil.org/code/sem,Possible,Awkāni,Personal,,,,,,,,,,,IQ,,
M7808,WBAB,Nār-Bābi,ÍD KÁ,vocab.getty.edu/page/aat/300006073,,ZadokGeographicalNamesAccording1985,150,Towards URUK,,Nar(u),***,Iso639-3.sil.org/code/akk,Possible,Bābi,Personal,Possible,,,Mentioned with LOC-1,M6638,,,,,,IQ,,
M7249,WBLS,Nāru-ša-Balāssu ,ÍD šá {m}ba-lat-su ,vocab.getty.edu/page/aat/300006073,,ZadokGeographicalNamesAccording1985,162,URUK Region,Likely,Nar(u),m,Iso639-3.sil.org/code/akk,,Balāssu ,Personal,,,,,,,,,,,IQ,,
M3422,SBAL,Bīt-Balu,{uru}É-ba-lu,vocab.getty.edu/page/aat/300008347,,ZadokGeographicalNamesAccording1985,83,Not far from URUK,,Bit,uru,Iso639-3.sil.org/code/sem,,Balu,Personal,,,,In LOC1,M4029,,,,,,IQ,,
M7211,WBNT,Nār-Bānītu,I{7}-{d}ba-ni-tu{4}; I{7}-{d}ba-nit šá qé-reb UNU{ki}; I{7}-{d}DÙ-ti; [I{7}]-{d}DÙ-ti; I{7}-{d}DÙ-tu{4},vocab.getty.edu/page/aat/300006073,,ZadokGeographicalNamesAccording1985,366-367,In URUK,,Nar(u),d; ki,Iso639-3.sil.org/code/akk,,Bānītu,Divine,,,Multiple Iterations,Not far from LOC-1 ,M1853,,,,,,IQ,,
M7217,SBAR,Bīt-Bārî,{uru}É-{lú}ḪAL; {garim}É-{lú}ḪAL; ši-i-ḫu šá {d}GAŠAN šá UNU{ki}; ši-i-ḫu šá {garim}É-{lú}ḪAL NÌ-GA {d}GAŠAN šá UNU{ki} u {d}na-na-a; É-{lú}ḪAL É-{lú(copy NI)}ḪAL ,vocab.getty.edu/page/aat/300008347,,ZadokGeographicalNamesAccording1985,84,Near URUK,Probable,Bit,uru; lú; garim; d; ki,Iso639-3.sil.org/code/akk,,Bārî,Appellative,,,"See CAD B, 110, 246+; Multiple Iterations",,,,,,,,IQ,,
M9962,SDBR,Dūru-ša-Barīḫi,{[uru]}BÀD šá (copy: A) {m}ba-ri-ḫi,vocab.getty.edu/page/aat/300008347,,ZadokGeographicalNamesAccording1985,125,North of URUK,,Dur,uru; m,Iso639-3.sil.org/code/akk; Iso639-3.sil.org/code/sem,,Barīḫi,Personal,,,,On LOC-1; in LOC-2 Region,M7069,,M5454,,,,IQ,,
M7791,WBAR,Nār-Baru,ÍD-ba-ru,vocab.getty.edu/page/aat/300006073,,ZadokGeographicalNamesAccording1985,151,In URUK,Probable,Nar(u),***,Iso639-3.sil.org/code/akk,Possible,Baru,Professional,,,"See CAD B, 121","Mentioned in LOC-1 Document, alongside LOC-2, LOC-3",M5679,,M3449,M1853,,,IQ,,
M6043,WNBS,Nār-Baṣṣu,ÍD ba-aṣ-ṣu; ÍD ba-aṣ-ṣu šá TIN.TIR.KI,vocab.getty.edu/page/aat/300006073,,ErmidoroNewDataBabylonian2016,151,URUK Region,,Nar(u),***,Iso639-3.sil.org/code/akk,Possible,Baṣṣu,*unclear*,,,"Listed as ""Flowed through VILLAGE  of ""Bēl-ētir"" ",Flowed through LOC-1,M9528,Possible,,,,,IQ,,
M4180,SBSB,Bīrtu-ša-Bazāja,{uru}bir-tu{4} šá ba-za-a-a ši-i-ḫu [šá] {[d}GAŠAN šá UNU{ki}; {uru}bir-ti šá {m}ba-za-a-a,vocab.getty.edu/page/aat/300008347,,ZadokGeographicalNamesAccording1985,77,URUK Region,,,uru; šá; ki;m ,Iso639-3.sil.org/code/akk; Iso639-3.sil.org/code/sem,,Bazāja,Personal,,,,On LOC-1,M4029,,,,,,IQ,,
M2229,SHBZ,Ḫuṣṣēti-ša-Bazūzu,{uru}ḫu-ṣu-e-ti šá {m}ba-zu-zu šá pi-ḫat UNU{ki},vocab.getty.edu/page/aat/300008347,,ZadokGeographicalNamesAccording1985,171,URUK Region,,Ḫuṣṣēti,uru; m; ki,Iso639-3.sil.org/code/akk; Iso639-3.sil.org/code/sem,,Bazūzu,Personal,,,,,,,,,,,IQ,,
M8216,SALL,Allallu ,{uru}al-la-al-lu,vocab.getty.edu/page/aat/300008347,,ZadokGeographicalNamesAccording1985,19,***,,,uru,Iso639-3.sil.org/code/akk,,***,,,,,In LOC-1,M5454,,,,,,IQ,,
M6030,HRBL,Ḫar-ran Bel, --none--,,,ZadokGeographicalNamesAccording1985,500,***,,,***,Iso639-3.sil.org/code/akk,Possible,Bel,Divine,,,,Text Connection to LOC-1,M7880,,,,,,IQ,,
M4944,WNBL,Nār-Bēl,I{7}-{d}EN,vocab.getty.edu/page/aat/300006073,,ZadokGeographicalNamesAccording1985,368,Mentioned in URUK Text,,Nar(u),d,Iso639-3.sil.org/code/akk,Possible,Bel,Divine,,,Multiple Iterations,,,,,,,,IQ,,
M4059,GTBX,Tamertu-ša-Bēl-[ ],GARIM šá {d}EN-[...],,,ZadokGeographicalNamesAccording1985,303,Near URUK,,Tamertu,d,Iso639-3.sil.org/code/akk,Possible,Bēl-[ ],Personal,,,,In LOC-1,M4029,Possible,,,,,IQ,,
M6941,WHBE,Ḫarru-ša-Bēl-eṭir,ḫa-ar-ra-tu{4} NIG.GA {d}GAŠAN šá UNUG{ki} u {d}na-na-a,vocab.getty.edu/page/aat/300006073,,ZadokGeographicalNamesAccording1985,144,In URUK,,Ḫarru,d; ki,Iso639-3.sil.org/code/akk,Possible,Bēl-eṭir,Personal,,,,Mentioned with LOC-1,M6878,,,,,,IQ,,
M9528,SBBE,Bitqu-ša-Bēl-ēṭir,{uru}bit-qu šá {md}EN.SUR [A].ŠÀ {d}na-na-a ši-i-ḫu šá {d}GAŠAN šá UNU{ki}; {i7}bit-qu šá {md}EN-SUR ši-i-ḫu šá {d}GAŠAN šá UNU{ki}; {i7}bit-qu šá {md}EN-SUR; {uru} {i7}bit-qa šá {d}EN-SUR ši-i-ḫu šá {d}GAŠAN šá UNU{ki}; {uru.i7}bit-qa šá {md}EN.SUR ši-i-ḫu šá {d}GAŠAN šá UNU{ki}; {uru}bit-qa šá {md}EN.SUR ši-i-ḫu šá {d}GAŠAN šá UNU{ki}; {uru} bit-qa šá {md}EN.SUR; {[ur]u}bit-qa šá {md}EN.SUR ši-i-ḫu [šá] {[d}GAŠAN šá UNU{ki}; [{uru}bi]t-qa šá {md}EN.SUR ši-i-ḫu [...]; {i7}bit-qa šá {md}EN.SUR ši-i-ḫu šá {d}GAŠAN šá UNU{ki}; bit-qa šá {d}EN.SUR ši-i-ḫu šá {d}GAŠAN šá UNU{ki}; bit-qa šá {md}EN.SUR ši-i-ḫu šá {d}GAŠAN šá UNU{ki}; [...] {md}EN.SUR ši-i-ḫ[u ... UNU{ki}; bit-qa šá {md}EN.SUR,vocab.getty.edu/page/aat/300008347,,ZadokGeographicalNamesAccording1985,100,URUK Region,,Bit,uru; m; d; ki; I7,Iso639-3.sil.org/code/akk,,Bēl-eṭir,Personal,,,,On LOC-1,M7509,,,,,,IQ,,
M7509,WBBE,Bitqu-ša-Bēl-ēṭir,KÁ-{i7}bit-qa šá {md}EN-SUR NÌ.GA {d}GAŠAN šá UNU{ki} u {d}na-na-a; [K]AR-{i7}bit-qa šá {md}EN-SUR NÌ.GA {d}GAŠAN šá UNU{ki} u {d}na-na-a; {i7}bit-qa šá {md}EN-SUR; A.ŠÀ šá KÁ-{i7}bit-qa NÌ.GA {d}GAŠAN šá UNU{ki} u {d}na-na-a; {i7}bit-qa NÌ.GA {d}GAŠAN šá UNU{ki} u {d}na-na-a; {i7}bit-qa; A.ŠÀ{meš} šá GÚ {i7}bit-qa NÌ.GA {d}GAŠAN šá UNU{ki} u {d}na-na-a,vocab.getty.edu/page/aat/300006073,,ZadokGeographicalNamesAccording1985,348,URUK Region,,Bitqu,I7; m; d; ki; meš,Iso639-3.sil.org/code/akk; Iso639-3.sil.org/code/arc,,Bēl-eṭir,Personal,,,,On LOC-1,M7509,,,,,,IQ,,
M3380,SBII,Bēl-ibni,{uru.md}EN-DÙ A {m}bul-lut; {uru.d}EN.DÙ,,,ZadokGeographicalNamesAccording1985,73,Not far from URUK,Possible,,uru; m; d,Iso639-3.sil.org/code/akk,,Bel-Ibni,Personal,,,,On LOC-1; In LOC-2,M4029,Possible,M5454,,,,IQ,,
M1990,WHBL,Ḫarru-ša-Bēl-līšir,{i7}SÙR šá {md}EN-li-ši-ri ,vocab.getty.edu/page/aat/300006073,,ZadokGeographicalNamesAccording1985,354,Not far from URUK,Probable,Ḫarru,I7; m; d,Iso639-3.sil.org/code/akk,,Bēl-līšir,Personal,,,,,,,,,,,IQ,,
M6841,SABZ,Àlu-ša-Bēl-ušēzib,URU šá {md}EN-ú-še-zib,,,ZadokGeographicalNamesAccording1985,10,Not far from URUK,Possible,Àlu,m; d,Iso639-3.sil.org/code/akk,,Bēl-Ušēzib,Personal,,,,,,,,,,,IQ,,
M6781,SABU,Àlu-ša-Bēlti-ša-Uruk,AŠ gi-iz-ze-e-tú šá I{7}-{d}in-nin a-ḫi-ul-la-' šá I{7}-ga-ma-de-e qaq-qar šá {d}GAŠAN šá UNU{ki} pa-na-tu{4} URU šá {d}GAŠAN šá UNU{ki},,,ZadokGeographicalNamesAccording1985,10,URUK Region,,Àlu,d; ki,Iso639-3.sil.org/code/akk; Iso639-3.sil.org/code/arc,,Bēlti-ša-Uruk,Divine,,,,"Near LOC-1, LOC-2",M3154,,M6517,,,,IQ,,
