site_ID,label,title,variant _Akkadian,type,sub_type,title_source,t-s_pages,URUK_relations,URUK_probability,place_terms,determinatives,language,lanuage_prop,proper_nouns,p-n_type,p-n_type_prop,variant_modern,notes,LOC_details,LOC-1,LOC-1_probability,LOC-2,LOC-3,LOC-4,LOC-5,ccode,CDLI,Pleiades
M9797,SBAN,Bānītu ,{uru}ba-ni-tu ,vocab.getty.edu/page/aat/300008347,,ZadokGeographicalNamesAccording1985,94,***,,,uru,Iso639-3.sil.org/code/akk; Iso639-3.sil.org/code/sem,,***,,,,See Bānītāja,In LOC-1; On LOC-2,M5454,,M7211,,,,IQ,,
M9171,SDAR,Dārāti ,{uru}da-ra-a-te' {uru}da-ra-a-ti ,vocab.getty.edu/page/aat/300008347,,ZadokGeographicalNamesAccording1985,172,***,,,uru,Iso639-3.sil.org/code/sem,,***,,,,,,,,,,,,IQ,,
M6445,SSTI,Bīt-Šalti-'il,A.ŠÀ šá {uru}É-{m}šá-al--tu{4}-ìl e-li URU NÌ.GA {d}GAŠAN šá UNU{ki} u {d}na-na-a,vocab.getty.edu/page/aat/300008347,,ZadokGeographicalNamesAccording1985,104,Near URUK,Probable,Bit,uru; m; d; ki,Iso639-3.sil.org/code/sem,,Šalti-'il,Personal,,,,,,,,,,,IQ,,
M4788,SEKS,Ekuššu,{uru}e-ku-uš-šú,vocab.getty.edu/page/aat/300008347,,ZadokGeographicalNamesAccording1985,201,URUK Region,,,uru,Iso639-3.sil.org/code/sem,Possible,***,,,,Walled City,In LOC-1,M9539,,,,,,IQ,,
M3494,SGAD,Gadijāti,{uru}ga-di-ia-ti,vocab.getty.edu/page/aat/300008347,,BaggOrtsUndGewassernames2020,220,URUK Region,,,uru,Iso639-3.sil.org/code/sem,,***,,,,,On Banks of LOC-1,M3174,Probable,,,,,IQ,,
M4307,SIBU,Ibūli,{uru}i-bu-li; {uru}ú-bu-li,vocab.getty.edu/page/aat/300008347,,BaggOrtsUndGewassernames2020,294,Near URUK,,,uru,Iso639-3.sil.org/code/sem,,***,,,,,Near LOC-1; LOC-2,M4628,,M8909,,,,IQ,,
M7113,WSUM,Nār-Sumandar,I{7}-nu-man-dar; mu-šá-ni-tu{4} šá I{7}-su-man-dar (copy TI); I{7}-su-man-dur; I{7}-su-un-dur; I{7}-{d}XXX-ma-dar; I{7}(?)-su-man-da-[ar] ,vocab.getty.edu/page/aat/300006073,,ZadokGeographicalNamesAccording1985,382-383,***,,Nar(u),***,Iso639-3.sil.org/code/sux; Iso639-3.sil.org/code/akk,,***,,,,LOC-3 is Possible,"Flowed from LOC-1, LOC-2, LOC-3",M8809,Possible,M4838,M6724,,,IQ,,
M7294,SISN,Isin,PA.ŠE{ki}; PA.TE.SI{ki},vocab.getty.edu/page/aat/300008347,,ZadokGeographicalNamesAccording1985,299,***,,,ki,Iso639-3.sil.org/code/sux,,***,,,Išān al-Baḥrīyāt;  أيشان بحريات,"Excavated (31.885 N, 45.268 E)",,,,,,,,IQ,,
M5431,SMAN,Manaḫḫu,{uru}ma-na-aḫ-ḫu,vocab.getty.edu/page/aat/300008347,,ZadokGeographicalNamesAccording1985,388,North of URUK,,,uru,Iso639-3.sil.org/code/sem,,***,,,,Walled City,In LOC-1,M4029,,,,,,IQ,,
M7898,SPAS,Paṣītu ,{uru}pa-ṣi-tú,vocab.getty.edu/page/aat/300008347,,ZadokGeographicalNamesAccording1985,456,***,,,uru,Iso639-3.sil.org/code/sem,,***,,,,,"Near LOC-1, LOC-2",M7778,,M6724,,,,IQ,,
M4863,TKRB,Tamkāru rabītu, --none--,,,ZadokGeographicalNamesAccording1985,504,***,,,***,Iso639-3.sil.org/code/akk,Possible,***,,,,Real Estate Plot,"Near LOC-1, LOC-2",M9313,,M1365,,,,IQ,,
M8073,SBSM,Bīt-Šama'-il,{uru}É-{m}šá-ma-'-ìl; A.ŠÀ šá {d}GAŠAN šá UNU{ki} šá É-{m}šá-ma-'-ìl; {uru}É-{m}šá-ma-'-ìl,vocab.getty.edu/page/aat/300008347,,ZadokGeographicalNamesAccording1985,104-105,URUK Region,,Bit,uru; m; d; ki,Iso639-3.sil.org/code/sem,,Šama'-il,Personal,,,,"On LOC-1; Between LOC-2, LOC-3",M1853,Probable,M7980,M6779,,,IQ,,
